Email,Avatar,Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
mstephenson@fernandez.com,Violet,34.49726772511229,12.65565114916675,39.57766801952616,4.0826206329529615,587.9510539684005
hduke@hotmail.com,DarkGreen,31.92627202636016,11.109460728682564,37.268958868297744,2.66403418213262,392.2049334443264
pallen@yahoo.com,Bisque,33.000914755642675,11.330278057777512,37.110597442120856,4.104543202376424,487.54750486747207
riverarebecca@gmail.com,SaddleBrown,34.30555662975554,13.717513665142507,36.72128267790313,3.120178782748092,581.8523440352177
mstephens@davidson-herman.com,MediumAquaMarine,33.33067252364639,12.795188551078114,37.53665330059473,4.446308318351434,599.4060920457634
alvareznancy@lucas.biz,FloralWhite,33.871037879341976,12.026925339755056,34.47687762925054,5.493507201364199,637.102447915074
katherine20@yahoo.com,DarkSlateBlue,32.02159550138701,11.366348309710526,36.68377615286961,4.685017246570912,521.5721747578274
awatkins@yahoo.com,Aqua,32.739142938380326,12.35195897300293,37.37335885854755,4.4342734348999375,549.9041461052942
vchurch@walter-martinez.com,Salmon,33.98777289568564,13.386235275676436,37.534497341555735,3.2734335777477144,570.2004089636196
bonnie69@lin.biz,Brown,31.936548618448917,11.814128294972196,37.14516822352819,3.202806071553459,427.1993848953282
andrew06@peterson.com,Tomato,33.992572774953736,13.338975447662113,37.22580613162114,2.482607770510596,492.6060127179966
ryanwerner@freeman.biz,Tomato,33.87936082480498,11.584782999535266,37.08792607098381,3.71320920294043,522.3374046069357
knelson@gmail.com,RoyalBlue,29.532428967057943,10.961298400154098,37.42021557502538,4.046423164299585,408.6403510726275
wrightpeter@yahoo.com,Bisque,33.19033404372265,12.959226091609382,36.144666700041924,3.918541839158999,573.4158673313865
taylormason@gmail.com,DarkBlue,32.387975853153876,13.148725692056516,36.61995708279922,2.494543646659249,470.4527333009554
jstark@anderson.com,Peru,30.737720372628182,12.636606052000127,36.213763093698624,3.3578468423262944,461.7807421962299
wjennings@gmail.com,PowderBlue,32.12538689728784,11.733861690857394,34.8940927514398,3.1361327164897803,457.84769594494855
rebecca45@hale-bauer.biz,OliveDrab,32.338899323067196,12.013194694014402,38.38513659413844,2.420806160901484,407.70454754954415
alejandro75@hotmail.com,Cyan,32.187812045932155,14.7153875441565,38.24411459434352,1.516575580831944,452.3156754800354
samuel46@love-west.net,LightSeaGreen,32.61785606282345,13.989592555825254,37.190503800397956,4.064548550437977,605.061038804892
megan33@gmail.com,PeachPuff,32.912785111159785,11.365492025516154,37.60779252420698,4.599937357614995,534.7057438060227
agolden@yahoo.com,Black,33.503087256719716,12.87798369625634,37.44102133556604,1.559151939957077,419.93877483917913
vstafford@hotmail.com,Olive,31.53160448257291,13.378562784168984,38.73400628989712,2.2451477874052825,436.51560572936256
denise22@hernandez-townsend.com,Silver,32.903250973372074,11.657575922065588,36.77260376125875,3.919302308553184,519.3409891307888
youngbarbara@yahoo.com,Wheat,34.50755099852662,12.893669504071738,37.63575587790592,5.7051539706010255,700.9170916173961
william25@mcconnell.com,Teal,33.02933195350689,11.765812645482356,37.738524945579094,2.7217359920452187,423.17999168059777
ijones@schaefer-carr.net,Linen,33.54123131310037,12.783891784275019,36.430649621049305,4.6481993164286015,619.8956398616367
heatherhall@yahoo.com,MediumSlateBlue,32.33598963740772,13.007819424388568,37.85177916943607,2.9963645262685388,486.83893476506273
